sample_idx,t_s,t_rel_peak_s,ecg_mv
59956,599.56,-0.44,-0.69
59957,599.57,-0.43,-0.4775
59958,599.58,-0.42,-0.635
59959,599.59,-0.41,-0.4232
59960,599.6,-0.4,-0.4036
59961,599.61,-0.39,-0.3072
59962,599.62,-0.38,-0.4538
59963,599.63,-0.37,-0.1741
59964,599.64,-0.36,-0.148
59965,599.65,-0.35,0.1432
59966,599.66,-0.34,0.1409
59967,599.67,-0.33,0.3922
59968,599.68,-0.32,0.6743
59969,599.69,-0.31,0.2555
59970,599.7,-0.3,0.2294
59971,599.71,-0.29,0.1057
59972,599.72,-0.28,0.14
59973,599.73,-0.27,-0.0324
59974,599.74,-0.26,0.0338
59975,599.75,-0.25,0.0858
59976,599.76,-0.24,-0.0619
59977,599.77,-0.23,0.1647
59978,599.78,-0.22,0.1663
59979,599.79,-0.21,-0.0194
59980,599.8,-0.2,-0.0237
59981,599.81,-0.19,-0.0722
59982,599.82,-0.18,-0.0836
59983,599.83,-0.17,-0.0749
59984,599.84,-0.16,0.0965
59985,599.85,-0.15,0.0856
59986,599.86,-0.14,0.0101
59987,599.87,-0.13,-0.0255
59988,599.88,-0.12,0.0508
59989,599.89,-0.11,0.073
59990,599.9,-0.1,0.0637
59991,599.91,-0.09,0.0452
59992,599.92,-0.08,-0.1578
59993,599.93,-0.07,-0.2403
59994,599.94,-0.06,-0.0542
59995,599.95,-0.05,-0.0365
59996,599.96,-0.04,-0.1064
59997,599.97,-0.03,0.0722
59998,599.98,-0.02,1.0509
59999,599.99,-0.01,2.8448
60000,600,0,4.4887
60001,600.01,0.01,1.2428
60002,600.02,0.02,-1.3086
60003,600.03,0.03,-0.2635
60004,600.04,0.04,-0.2567
60005,600.05,0.05,-0.0602
60006,600.06,0.06,-0.0829
60007,600.07,0.07,0.0161
60008,600.08,0.08,0.0509
60009,600.09,0.09,0.0498
60010,600.1,0.1,0.0427
60011,600.11,0.11,0.0301
60012,600.12,0.12,-0.1902
60013,600.13,0.13,0.0289
60014,600.14,0.14,0.0162
60015,600.15,0.15,-0.1908
60016,600.16,0.16,-0.1811
60017,600.17,0.17,-0.0161
60018,600.18,0.18,0.0077
60019,600.19,0.19,-0.1016
60020,600.2,0.2,0.0042
60021,600.21,0.21,0.1694
60022,600.22,0.22,0.2232
60023,600.23,0.23,0.3067
60024,600.24,0.24,0.4196
60025,600.25,0.25,0.6708
60026,600.26,0.26,0.5035
60027,600.27,0.27,0.3049
60028,600.28,0.28,0.4071
60029,600.29,0.29,0.2017
60030,600.3,0.3,0.1054
60031,600.31,0.31,0.1667
60032,600.32,0.32,-0.2185
60033,600.33,0.33,0.0043
60034,600.34,0.34,-0.315
60035,600.35,0.35,-0.337
60036,600.36,0.36,0.3591
60037,600.37,0.37,-0.2572
60038,600.38,0.38,-0.2715
60039,600.39,0.39,-0.0591
60040,600.4,0.4,-0.238
60041,600.41,0.41,-0.0234
60042,600.42,0.42,-0.032
60043,600.43,0.43,-0.0315
60044,600.44,0.44,0.0591
60045,600.45,0.45,0.4445
60046,600.46,0.46,-0.0363
60047,600.47,0.47,0.3638
60048,600.48,0.48,0.09
60049,600.49,0.49,-0.0439
60050,600.5,0.5,0.4096
60051,600.51,0.51,0.0006
60052,600.52,0.52,-0.187
60053,600.53,0.53,0.0995
60054,600.54,0.54,0.2054
60055,600.55,0.55,-0.1136
60056,600.56,0.56,0.0515
60057,600.57,0.57,0.1896
60058,600.58,0.58,1.2357
60059,600.59,0.59,3.6743
60060,600.6,0.6,4.0361
60061,600.61,0.61,0.1654
60062,600.62,0.62,-1.0415
60063,600.63,0.63,-0.3776
60064,600.64,0.64,-0.2926
60065,600.65,0.65,-0.3681
60066,600.66,0.66,-0.1922
60067,600.67,0.67,-0.3264
60068,600.68,0.68,-0.3407
60069,600.69,0.69,-0.3013
60070,600.7,0.7,-0.3396
60071,600.71,0.71,-0.2886
60072,600.72,0.72,-0.4263
60073,600.73,0.73,-0.3859
60074,600.74,0.74,-0.4099
60075,600.75,0.75,-0.3097
60076,600.76,0.76,-0.0884
60077,600.77,0.77,-0.5188
60078,600.78,0.78,-0.4864
60079,600.79,0.79,-0.2768
60080,600.8,0.8,-0.3631
60081,600.81,0.81,-0.2829
60082,600.82,0.82,-0.1372
60083,600.83,0.83,0.0369
60084,600.84,0.84,0.1686
60085,600.85,0.85,0.2989
60086,600.86,0.86,0.4977
60087,600.87,0.87,-0.0397
60088,600.88,0.88,0.0093
60089,600.89,0.89,-0.0511
60090,600.9,0.9,-0.2527
60091,600.91,0.91,-0.0387
60092,600.92,0.92,-0.0274
60093,600.93,0.93,0.283
60094,600.94,0.94,0.0454
60095,600.95,0.95,0.109
60096,600.96,0.96,-0.0087
60097,600.97,0.97,-0.0752
60098,600.98,0.98,0.1602
60099,600.99,0.99,0.0944
60100,601,1,0.0289
60101,601.01,1.01,0.4669
60102,601.02,1.02,0.4732
60103,601.03,1.03,0.2263
60104,601.04,1.04,0.3933
60105,601.05,1.05,-0.003
60106,601.06,1.06,0.8467
60107,601.07,1.07,0.5245
60108,601.08,1.08,0.5556
60109,601.09,1.09,0.7828
60110,601.1,1.1,0.0351
60111,601.11,1.11,-0.0606
60112,601.12,1.12,0.5163
60113,601.13,1.13,0.4791
60114,601.14,1.14,-0.2874
60115,601.15,1.15,0.066
60116,601.16,1.16,0.8294
60117,601.17,1.17,1.9262
60118,601.18,1.18,4.0388
60119,601.19,1.19,4.3752
60120,601.2,1.2,-0.0032
60121,601.21,1.21,-0.9227
60122,601.22,1.22,-0.279
60123,601.23,1.23,0.0506
60124,601.24,1.24,0.0924
60125,601.25,1.25,-0.3193
60126,601.26,1.26,-0.1189
60127,601.27,1.27,-0.316
60128,601.28,1.28,-0.7558
60129,601.29,1.29,-0.0658
60130,601.3,1.3,-0.0857
60131,601.31,1.31,-0.4364
60132,601.32,1.32,-0.0868
60133,601.33,1.33,-0.4631
60134,601.34,1.34,-0.8998
60135,601.35,1.35,-0.063
60136,601.36,1.36,-0.3809
60137,601.37,1.37,-0.3781
60138,601.38,1.38,0.0975
60139,601.39,1.39,-0.2159
60140,601.4,1.4,-0.2081
60141,601.41,1.41,0.1461
60142,601.42,1.42,0.1546
60143,601.43,1.43,-0.1844
60144,601.44,1.44,0.1408
60145,601.45,1.45,0.422
60146,601.46,1.46,-0.1869
60147,601.47,1.47,-0.1903
60148,601.48,1.48,0.1661
60149,601.49,1.49,-0.3114
60150,601.5,1.5,-0.2935
60151,601.51,1.51,-0.3477
60152,601.52,1.52,-0.4286
60153,601.53,1.53,-0.086
60154,601.54,1.54,0.6751
60155,601.55,1.55,0.4064
60156,601.56,1.56,0.1294
60157,601.57,1.57,-0.0039
60158,601.58,1.58,0.2518
60159,601.59,1.59,0.0218
60160,601.6,1.6,0.4139
60161,601.61,1.61,0.3636
60162,601.62,1.62,0.269
60163,601.63,1.63,0.8087
60164,601.64,1.64,0.3645
60165,601.65,1.65,0.2391
60166,601.66,1.66,0.3487
60167,601.67,1.67,0.2917
60168,601.68,1.68,0.2875
60169,601.69,1.69,0.5407
60170,601.7,1.7,0.4495
60171,601.71,1.71,0.3927
60172,601.72,1.72,-0.2171
60173,601.73,1.73,0.231
60174,601.74,1.74,0.0251
60175,601.75,1.75,-0.1974
60176,601.76,1.76,1.207
60177,601.77,1.77,2.5527
60178,601.78,1.78,4.6623
60179,601.79,1.79,3.2581
60180,601.8,1.8,-0.8981
60181,601.81,1.81,-0.914
60182,601.82,1.82,-0.3319
60183,601.83,1.83,-0.3886
60184,601.84,1.84,-0.5058
60185,601.85,1.85,-0.594
60186,601.86,1.86,-0.4988
60187,601.87,1.87,-0.9173
60188,601.88,1.88,-0.8881
60189,601.89,1.89,-0.8252
60190,601.9,1.9,-1.1914
60191,601.91,1.91,-1.2944
60192,601.92,1.92,-0.9006
60193,601.93,1.93,-1.1302
60194,601.94,1.94,-1.1474
60195,601.95,1.95,-0.7929
60196,601.96,1.96,-1.2064
60197,601.97,1.97,-1.3867
60198,601.98,1.98,-0.9549
60199,601.99,1.99,-0.9623
60200,602,2,-1.0547
60201,602.01,2.01,-0.284
60202,602.02,2.02,0.0373
60203,602.03,2.03,-0.2153
60204,602.04,2.04,0.2826
60205,602.05,2.05,0.1713
60206,602.06,2.06,0.1296
60207,602.07,2.07,0.3165
60208,602.08,2.08,0.2112
60209,602.09,2.09,0.0471
60210,602.1,2.1,0.2166
60211,602.11,2.11,-0.0569
60212,602.12,2.12,0.0412
60213,602.13,2.13,0.2949
60214,602.14,2.14,0.1918
60215,602.15,2.15,-0.0052
60216,602.16,2.16,0.0581
60217,602.17,2.17,0.1435
60218,602.18,2.18,0.1458
60219,602.19,2.19,-0.0573
60220,602.2,2.2,0.0275
60221,602.21,2.21,-0.025
60222,602.22,2.22,0.0262
60223,602.23,2.23,0.0396
60224,602.24,2.24,0.0669
60225,602.25,2.25,0.0937
60226,602.26,2.26,0.1361
60227,602.27,2.27,0.142
60228,602.28,2.28,0.0869
60229,602.29,2.29,0.1122
60230,602.3,2.3,-0.0041
60231,602.31,2.31,-0.0788
60232,602.32,2.32,-0.0585
60233,602.33,2.33,-0.1146
60234,602.34,2.34,-0.1009
60235,602.35,2.35,-0.0126
60236,602.36,2.36,0.5967
60237,602.37,2.37,2.336
60238,602.38,2.38,4.5754
60239,602.39,2.39,2.9797
60240,602.4,2.4,-0.8536
60241,602.41,2.41,-0.7365
